-4.0,1.5,4.0,1.5;
-4.0,-0.55,4.0,-0.55;
-3,-0.45,-2.5,-0.45;
-3,-0.25,-2.5,-0.25;
-3,-0.45,-3,-0.25;
-2.5,-0.45,-2.5,-0.25;
-2.3,-0.45,-1.8,-0.45;
-2.3,-0.25,-1.8,-0.25;
-2.3,-0.45,-2.3,-0.25;
-1.8,-0.45,-1.8,-0.25;
-1.6,-0.45,-1.1,-0.45;
-1.6,-0.25,-1.1,-0.25;
-1.6,-0.45,-1.6,-0.25;
-1.1,-0.45,-1.1,-0.25;
-0.9,-0.45,-0.4,-0.45;
-0.9,-0.25,-0.4,-0.25;
-0.9,-0.45,-0.9,-0.25;
-0.4,-0.45,-0.4,-0.25;
0.3,-0.45,0.8,-0.45;
0.3,-0.25,0.8,-0.25;
0.3,-0.45,0.3,-0.25;
0.8,-0.45,0.8,-0.25;
1,-0.45,1.5,-0.45;
1,-0.25,1.5,-0.25;
1,-0.45,1,-0.25;
1.5,-0.45,1.5,-0.25;
1.7,-0.45,2.2,-0.45;
1.7,-0.25,2.2,-0.25;
1.7,-0.45,1.7,-0.25;
2.2,-0.45,2.2,-0.25;
2.4,-0.45,2.9,-0.45;
2.4,-0.25,2.9,-0.25;
2.4,-0.45,2.4,-0.25;
2.9,-0.45,2.9,-0.25;
